names 
Aamon,
Aaven,
Abbas,
Abel,
Abigor,
Abner,
Abriel,
Ace,
Aceyn,
Acrux,
Adan,
Addae,
Adio,
Adlai,
Adler,
Adnan,
Adwin,
Aegle,
Aelius,
Aero,
Aitor,
Alain,
Alaric,
Alastair,
Alban,
Albion,
Alcide,
Alcott,
Alden,
Aldous,
Aldrin,
Alexander,
Alexavier,
Alfio,
Alger,
Alioth,
Alirio,
Alistair,
Allegro,
Alois,
Altair,
Alton,
Alvar,
Amado,
Amancio,
Amarus,
Ambrose,
Amias,
Ammar,
Amos,
Amund,
Anakin,
Aneirin,
Anil,
Anselm,
Anson,
Antares,
Antoine,
Antrim,
Apollo,
Badar,
Balin,
Balor,
Banning,
Bannon,
Baptist,
Barclay,
Barnaby,
Baron,
Barrett,
Barton,
Basile,
Bastien,
Baxter,
Bayard,
Baylen,
Beathan,
Beau,
Beile,
Belenos,
Belial,
Bence,
Benedict,
Benjamin,
Benno,
Beowulf,
Bernal,
Bernard,
Bertram,
Berwyn,
Bexam,
Blade,
Blaze,
Blitzen,
Boaz,
Bobby,
Bolin,
Borealis,
Boris,
Bradan,
Bramwell,
Bran,
Brander,
Brandon,
Brantley,
Branton,
Bravery,
Braxley,
Braxton,
Brayson,
Breccan,
Brecken,
Brenton,
Breton,
Bretton,
Breviary,
Brexton,
Breyer,
Breyon,
Bridger,
Cabe,
Cace,
Cade,
Caden,
Cadian,
Cadoc,
Cadogan,
Caesar,
Cain,
Cainan,
Cainen,
Cairbre,
Caius,
Caledon,
Calidore,
Calix,
Callahan,
Callisto,
Callum,
Camdan,
Canis,
Canyon,
Caradoc,
Carden,
Carver,
Carwyn,
Cash,
Cashel,
Cashton,
Caspar,
Caspian,
Cassander,
Cassius,
Caston,
Castor,
Cathan,
Caxton,
Cayan,
Cayo,
Celso,
Celyn,
Centaurus,
Cepheus,
Cetus,
Ceylon,
Chanan,
Chandan,
Charles,
Chevy,
Cian,
Cillian,
Cisco,
Clark,
Clarkson,
Claude,
Claver,
Cledwyn,
Clifton,
Clive,
Cloven,
Daegan,
Dagan,
Dakarai,
Dakson,
Dalmar,
Damari,
Damien,
Dane,
Danil,
Dante,
Danyon,
Dario,
Darrow,
Darwin,
Dash,
Dasher,
Dashiell,
Davian,
Davorin,
Dawson,
Dax,
Daxon,
Daxwell,
Dayton,
Dean,
Declan,
Deimos,
Delmar,
Delphinus,
Demid,
Dempsey,
Denton,
Denver,
Desmond,
Dev,
Deveron,
Devlin,
Dexten,
Dietrich,
Digby,
Diggory,
Dixon,
Dmitri,
Donal,
Donatello,
Donati,
Doran,
Draco,
Draven,
Draxton,
Drexel,
Dries,
Driscol,
Drystan,
Dudley,
Duff,
Duke,
Dune,
Dunstan,
Dustin,
Eagan,
Eames,
Earl,
Ebbo,
Eben,
Eber,
Eckhard,
Edgar,
Edom,
Edric,
Edsel,
Edwards,
Eero,
Egbert,
Eilif,
Einar,
Eladio,
Elam,
Eldon,
Eleazar,
Eli,
Elian,
Eliazar,
Elige,
Elijah,
Elio,
Elkan,
Ellair,
Elleon,
Elmer,
Eloi,
Elon,
Eloy,
Elroy,
Elsdon,
Elton,
Elvis,
Emerett,
Emeric,
Emile,
Emilien,
Emilio,
Emmerich,
Emric,
Ender,
Enlai,
Ennio,
Enoch,
Enos,
Enver,
Enzo,
Eos,
Erdem,
Eridanus,
Erland,
Estan,
Estin,
Ethan,
Eunan,
Evander,
Fabian,
Fablen,
Fairfax,
Faolan,
Faulkner,
Fauston,
Fedor,
Felis,
Felix,
Fenn,
Fenno,
Fenris,
Fenton,
Ferdinand,
Fergus,
Fergus,
Ferrer,
Fidel,
Finbar,
Finlan,
Finn,
Finnegan,
Finnen,
Flanagan,
Florencio,
Florian,
Florin,
Forster,
Foster,
Fox,
Foxen,
Franco,
Fraser,
Frey,
Gabe,
Gabin,
Gable,
Gabriel,
